Original_Index,Restaurant_Name,Review_Text,FOOD,SERVICE,ATMOS,PRICE
83,October : Japanese Home Cooking,"Japanese home cooking
อาหารญี่ปุ่นอร่อยแบบโฮมเมด
รสชาติเป็นเอกลักษณ์

ไก่ทอดนัมบัง ไก่นุ่มทอดฉ่ำ จิ้มซอสทาร์ทาร์สูตรพิเศษ
หมูผัดเลมอน หมูสไลซ์บางผัดฉ่ำซอส หอมเลมอนกับขิง
สลัดทงคัตสึ หมูหนาแน่น สลัดสดดี",POS,N/A,N/A,N/A
84,October : Japanese Home Cooking,พี่พนักงานผู้หญิงบริการดีมากครับ ร้านเล็กๆอบอุ่น เมนูอาหารเยอะ,N/A,POS,POS,N/A
85,October : Japanese Home Cooking,A cozy little Japanese fusion restaurant! Amazing food!! Highly recommended when you’re in Chiang Mai!!,POS,N/A,POS,N/A
86,October : Japanese Home Cooking,Fantastic restaurant! The beef was very high quality and the service was amazing. Our food came so fast we were so surprised! I’d recommend coming here if you like Japanese food it’s excellent! 5 stars!,POS,POS,N/A,N/A
87,October : Japanese Home Cooking,ร้านโปรดสำหรับคนชอบอาหารญี่ปุ่นแบบง่ายๆ โดยเฉพาะข้าวหน้าเนื้อย่าง เนื้ออบ รสชาติดีมาก ราคาปานกลางค่อนไปสูงเล็กน้อย ใครชอบแนวนี้แนะนำให้แวะมาชิมดู,POS,N/A,N/A,NEU
88,October : Japanese Home Cooking,"เห็นราคาและหน้าตาอาหารจึงลองไปชิม
ปริมาณที่เสริฟน้อยนิดเมื่อเทียบกับราคา
แต่รสชาตก็ดีใช้ได้",NEU,N/A,N/A,NEG
89,October : Japanese Home Cooking,"If Google have 10stars, I will give all!
I’m a beef lover that’s why I love this restaurant. Almost every menu are so interesting. My friend and I selected the best 4 menus as the picture. I wasn’t remembered what’s the menu that we ordered but all menus are delicious!
I love beef soup and fried rice with garlic. Both menu are excellent more than I can say!
The restaurant have quite less seating. I think I may suggest you had better call to make a reservation in advance.
In totally I like this restaurant.",POS,N/A,NEU,N/A
90,October : Japanese Home Cooking,"One of my most favorite restaurants to go to in Chiang Mai. The beef is so tender and delicious. The pasta was also very good and so was the mango cheesecake. So to sum it up, everything on the menu was great! The price is pretty high but it is really worth it.",POS,N/A,N/A,POS
91,October : Japanese Home Cooking,"เพื่อนที่เป็นคนท้องถิ่นแนะนำว่าห้ามพลาดร้านนี้เด็ดขาด!!

พอได้มาลองชิมเอง ถึงรู้ว่าทำไมถึงห้ามพลาด

อร่อย ดีงามทุกเมนู ทุกคนในแก๊งค์ชมเป็นเสียงเดียวกันว่าอร่อยมาก

ร้านเล็กๆแถวๆ มช. ห้ามพลาดนะคะ",POS,N/A,NEU,N/A
92,October : Japanese Home Cooking,"ราคาปานกลางถึงสูง ฟิลแบบร้านอาหารญี่ปุ่นแบบมินิมอล ส่วนตัวจากที่สั่งทั้งหมด ขอให้ความคิดเห็นตามนี้
1. ข้าวผัดมันเนื้ออร่อยสุด แต่อร่อยที่ข้าวผัด ส่วนตัวเนื้อไม่มีรสชาติเลย ไม่แน่ใจว่าตั้งใจปรุงแบบอ่อนหรือเปล่า แต่ส่วนตัวคือต้องมาโรยเกลือและพริกไทยเพิ่มเองพอสมควร
2.คราฟ โซดา อันนี้น่าจะแล้งแต่ชอบ เพราะอันที่เราสั่งมาคือโคล่าแบบไทย เราไม่ค่อยชอบเท่าไหร่(แต่กินหมดนะเพราะเสียดายของ)
3.ไก่นัมบัง คืองงๆหน่อย เพราะ ไก่อมน้ำมันมาก มีที่ใช้ทอดโรยมาด้วย ซึ่งไม่ติดนะ แต่มันอมน้ำมันเกินไป ไม่มีความกรอบเลย ซอสไม่ได้ราดมาให้แต่เป็นแบบจิ้มเองเลยดูแปลกๆหน่อย
4.ในส่วนของสปสเก็ตตี้เบคอน กระเทียม พริกแห้ง ไม่ค่อยแนะนำเพราะจืดมาก และกระเทียมคือไหม้แล้ว เวลากินเข้าไปมีรสขมติดปลายลิ้นเลย ส่วนตัวไม่ชอบเท่าไหร่
5.ซุปหมู อันนี้ไม่ค่อยเจอที่ไหน แต่เพื่อนที่มากินด้วยบอกว่าเนื้อหมูแห้งเกินไป แต่รสชาติน้ำซุปคือโอเค ซดได้คล่องคอ เพราะรสบางๆไม่หนักมาก",NEG,N/A,NEU,NEU
93,October : Japanese Home Cooking,"แนะนำเมนูข้าวผัดมันเนื้อเลยค่ะ อร่อยถูกปากทุกวัย ที่บ้านเราชอบเมนูนี้ที่สุดค่ะ ที่สั่งมาดีทุกเมนูนะคะ แนะนำเนื้อออสวากิวค่ะ ร้านนี้ใช้เราเที่ยวด้วยกันได้ด้วยค่ะ

ขอหักคะแนนนิดนึงตรงร้านแอบหายาก ไม่มีป้ายบอกค่า",POS,N/A,NEG,N/A
94,October : Japanese Home Cooking,Very nice authentic Japanese food. The place is cozy the decoration is simple but the staff is very friendly and they also have coffee and Japanese desserts. I eat here often and recommend it to everyone.,POS,POS,POS,N/A
95,October : Japanese Home Cooking,"ร้านนี้ชอบสั่งในแอฟส่งอาหารมาทานหลายครั้ง ทานที่บ้านอร่อยมาก วันนี้ผ่านมาเห็นที่จอดรถหน้าว่างพอดีเลยลองแวะทาน ก็อร่อยดี แต่รู้สึกว่าสั่งทานที่บ้านอร่อยกว่าคงเพราะสั่งคนละเมนู
ร้านไม่ใหญ่มาก อาหารเสริฟเร็ว
เมนูเนื้อ อร่อยมาก ถือว่าใช้ได้อยู่",POS,POS,NEU,N/A
96,October : Japanese Home Cooking,เนื้อดีงามมาก และที่ร้านบริการดีน้องๆน่ารักมีน้ำใจมากๆ มีจิตใจที่บริการอย่างดี บรรยากาศร้านอบอุ่นสบายๆ อาหารตั้งใจจัดจานให้เรียบร้อย รสชาติอาหารโอเค,POS,POS,POS,N/A
97,October : Japanese Home Cooking,อาหารอร่อย สะอาด 👍🥩🥦 มากินหลายครั้งแล้ว เลือกกินที่นี่เป็นมื้อเที่ยงเพราะอยู่ใกล้มช สะดวกมากๆค่ะ แต่ขอหัก1ดาว เพราะพี่พนงไม่ค่อยยิ้มเลย มากี่ครั้งก็เป็นแบบเดิม แอบเสียใจงะ🥹🥹,POS,NEG,POS,N/A
98,October : Japanese Home Cooking,ร้านขนาดเล็ก ตกแต่งดี สะอาด อาหารอร่อย เนื้อเสต็กดีมาก ขอ Medium Rare ได้ตรงตามที่ขอ เซทซุปหมูรสชาติดี ชอบรสไม่จัดแนะนำให้ลอง ซดน้ำซุปได้หมดถ้วย,POS,N/A,POS,N/A
99,October : Japanese Home Cooking,Probably one of the best steak and fried rice I have found.  Very good. Ordered the larger serving Thai beef fried rice for 499 baht. Dish behind mine was the regular size for reference.,POS,N/A,N/A,N/A
100,October : Japanese Home Cooking,"อร่อยมากกก home cookingที่ถูกต้อง
นอกจากของคาวก็มีพุดดิ้งที่ต้องสั่ง!⭐️",POS,N/A,NEU,N/A
101,October : Japanese Home Cooking,ริานเล็กๆแต่อาหารดีงาม จานเนื้อคือดี นุ่ม ไม่มีติดฟัน  ข้าวอบมันเนื้อหอมมากกกกก เลือกระดับความสุกได้นุ่ม ดีมาก ข้าวเนื้ออบก็คือดีย์ นุ่มละมุนมาก ถ้ามีวันว่างไว้จะแวะไปอีก,POS,N/A,NEU,N/A
102,October : Japanese Home Cooking,A small Japanese restaurand with humble but excellent food quality.,POS,POS,NEU,POS
103,October : Japanese Home Cooking,"Really good cafe. This would be the perfect place for a visit. It has great coffee, a selection of cakes & juices, as well as Asian, Thai & Western food choices. It isn’t too expensive at all. Free Wifi & is clean, tidy & friendly staff. The outside appearance could give the wrong impression as it is underwhelming. Don’t be misled, it’s really good.",POS,POS,NEU,N/A
104,October : Japanese Home Cooking,Ordered an americano and it tasted exactly to my liking.  The staff are friendly and the food I could see on other people’s tables lookers pretty tasty.  There’s not a lot of seating but there’s a large bench seat with a couple of tables you can work from.  There’s also 3 individual tables with power sockets next to them if you want to charge your gear.  There’s an L shaped couch at the back of you want to chill out and not work. #BeatTheGrind,POS,N/A,N/A,N/A
105,October : Japanese Home Cooking,อร่อยมากๆค่ะ  เนื้อฉ่ำ รสชาติเริส มาหลายครั้งแล้วด้วย เป็นร้านประจำไปแล้วค่ะ 🤍,POS,N/A,POS,POS
106,October : Japanese Home Cooking,"ร้านเล็กๆน่ารัก เน้นเมนูเนื้อเป็นหลัก ข้าวหน้าเนื้อ สเต็คเนื้อ ข้าวผัดเนื้อ
แต่ใครไม่กินเนื้อก็มีเมนูข้าวแกงกะหรี่ เมนูหมูให้เลือก
craft soda อร่อยมาก สดชื่อ ราคาย่อมเยาว์",NEG,N/A,N/A,N/A
107,October : Japanese Home Cooking,"Nope. We literally didn’t finish our food. We tried their curry and it was not great. The katsu was awful. And the omurice? Was just an undercooked omelet, not authentic nor impressive.",POS,N/A,NEG,NEU
108,October : Japanese Home Cooking,สั่งแกงกะหรี่เผ็ดมากคือ ที่สุดของที่ตามหา ใครชอบกินแกงกะหรี่ญี่ปุ่น ร้านนี้ถือว่าดีเลย ราคาแรงไปนิดแต่ก็พอรับได้ (แต่ถ้าร้านเพิ่มข้าวอีกนิดจะดีมาก) เบรกเกอร์เนื้อรสชาติกำลังดี โซดาที่แนะนำก็อร่อย แปลกดี โดยรวมชอบ ร้านเล็กนิดนึง มองหายาก,ERROR,ERROR,ERROR,ERROR
109,October : Japanese Home Cooking,"Came to try the rice bowl, it was OKAY but not tasty.

I get that they use AUS Wagyu but regarding the price and portion size, it’s not worth it at all.

The beef tasted the same as a 400 baht buffet I had yesterday and the small rice bowl here is 340 … disappointing.",NEG,N/A,N/A,NEG
110,October : Japanese Home Cooking,I love their beef fat and garlic friend rice! Very fragrant and unique. The dish can be pricy but the taste is worth the price. The portion is small for me. 😁,POS,N/A,N/A,NEU
111,October : Japanese Home Cooking,รสชาติก็อร่อยดีค่ะ แต่กลิ่นเนื้อยังไม่ค่อยหอม ราคาค่อนข้างสูง,NEU,N/A,N/A,NEG
112,October : Japanese Home Cooking,"Very good service. Tried the Thai food in a Japanese homemade styled restaurant, it was decent. Will return for one of the beef bowls next time.
Fyi, don't park on the road between 4pm-7pm in front of the restaurant, I got a ticket!😅 …",POS,POS,N/A,N/A
113,October : Japanese Home Cooking,"พนักงานน่ารัก​ ใจดี​ น้องหมานั่งได้ตามที่จัดให้
ใครพาเพื่อนมาปริ๊นงาน​ ขี้เกลียจรอที่ร้าน​ แนะนำร้านนี้เลย​ แอร์สบายๆ​ เพลงเบา​ ลั้นลาได้ยาวๆ​
ที่สำคัญ  มีคนละครึ่งนาจา  🤟😁👍 …",N/A,POS,POS,POS
114,October : Japanese Home Cooking,ดูรีวิวผ่าน Google Maps แล้วตามมากิน อันที่เหมือนภูเขาไฟคือดีมากเนื้อนุ่มกว่าที่ตาเห็นกว่าที่คิดเอาไว้อยากให้มาลองกันค่ะ,POS,N/A,N/A,N/A
115,October : Japanese Home Cooking,ข้าวผัดมันเนื้อคือดีที่สุดด ถ้ามาเชียงใหม่ก็อยากมาซ้ำอีกแต่หั่นเนื้อชิ้นบางไปหน่อยค่ะ,POS,N/A,N/A,N/A
116,October : Japanese Home Cooking,ผักที่ไม่สดและช้ำมากควรเลือกทิ้งนะ ไม่ควรนำมาให้ลูกค้าทานแล้ว,NEG,N/A,N/A,N/A
117,October : Japanese Home Cooking,Cozy family run home cafe serving delicious food & coffee. The owners are polite and service is fast.,POS,POS,POS,N/A
118,October : Japanese Home Cooking,"It’s a charming little homemade Japanese food place, taste amazing, the portions are small though.",NEU,N/A,POS,N/A
119,October : Japanese Home Cooking,นอดจากเนื้อแล้วกาแฟที่นี่ก็ดีไม่แพ้กันครับ,POS,N/A,N/A,N/A
120,October : Japanese Home Cooking,ร้านเล็กไปหน่อยที่นั่งน้อยค่ะ แต่รสชาติดีมากกก จานใหญ่ ปลื้มมาก,POS,N/A,NEG,N/A
121,October : Japanese Home Cooking,เนื้อออสมึเดี่ยม อร่อยมาก ข้าวผัดมันเนื้อดี  กระเทียมกรอบ,POS,N/A,N/A,N/A
122,October : Japanese Home Cooking,"A nice place to grab quick good quality meal and coffee. Price of food is on the upper-scale, but their quality is good. Overall, a nice place for quick relaxing meal or coffee",POS,N/A,POS,NEU
123,October : Japanese Home Cooking,I tried the Aus steak with fried rice. It was great. Beef was tender. Fried rice was really good too. I plan to go back and try some other dishes soon.,POS,N/A,N/A,N/A
124,October : Japanese Home Cooking,"ลาเต้เย็นอร่อยเข้มแต่กลมกล่อม
อาหารสไตล์ญี่ปุ่นก็ อร่อย จานนี้ข้าวผัดมิโซะรสชาติดีอร่อยเลย",POS,N/A,N/A,N/A
125,October : Japanese Home Cooking,อร่อยทุกเมนู โดยเฉพาะข้าวผัดมันเนื้อ,POS,N/A,N/A,N/A
126,October : Japanese Home Cooking,อร่อยดี ยังไม่ทันอิ่มหมดชามละ 555,NEU,N/A,N/A,N/A
127,October : Japanese Home Cooking,"My favourite restaurant in Chiang Mai, the beef dishes are exceptional with very reasonable prices. I will always visit this place whenever I go to Chiang Mai.",POS,N/A,N/A,POS
128,October : Japanese Home Cooking,ย่างเนื้อได้อร่อยมากๆ,POS,N/A,N/A,N/A
129,October : Japanese Home Cooking,Delicious food with big portions. Very affordable too. A pleasantly surprising hidden find,FOOD: POS,SERVICE: POS,ATMOSPHERE: POS,PRICE: POS
130,October : Japanese Home Cooking,"I've come here for their beef bowls before and it's been fine. But after this last visit, I cannot recommend anymore. The beef fat fried rice had overcooked tasteless dry beef pieces in it, the fried chicken was so oily and soggy, and the bulgogi sandwich really was quite bad. Worst off, both me and my friend had diarrhea the morning after dinner here for the whole day. Something happened to the quality here and I don't recommend anyone visiting here to find out what it is. Very disappointed.",FOOD: NEG,SERVICE: N/A,ATMOSPHERE: N/A,PRICE: N/A
131,October : Japanese Home Cooking,Delicious simple Japanese food in a homey setting. Great value.,FOOD: POS,SERVICE: N/A,ATMOSPHERE: POS,PRICE: POS
132,October : Japanese Home Cooking,"Good fast food Japenese cuisine in a stylish, cozy corner near the college campus. Great for a quick lunch meeting with colleagues. It was a little pricey for what it was, but full flavors. Check their menu online before entering.",FOOD: POS,SERVICE: N/A,ATMOSPHERE: POS,PRICE: NEG
133,October : Japanese Home Cooking,อาหารญี่ปุ่น สไตล์ home cooking  ร้านเล็กๆไม่ใหญ่มาก มีกาแฟ และขนมเค้กด้วย,FOOD: N/A,SERVICE: N/A,ATMOSPHERE: POS,PRICE: N/A
134,October : Japanese Home Cooking,กาแฟจากตปท.ให้หลากหลาย บาริสตาใส่ใจในรายละเอียด ชงดีมาก,FOOD: N/A,SERVICE: POS,ATMOSPHERE: N/A,PRICE: N/A
135,October : Japanese Home Cooking,เนื้อออสหมด เนื้อไทยอร่อยอยู่ครับ,FOOD: POS,SERVICE: N/A,ATMOSPHERE: N/A,PRICE: N/A
136,October : Japanese Home Cooking,"I recommend the omurice, the ""thammada"" normal version and the one with Tonkatsu, on 2 different occasions.
The coffee was on point as well.
The reception was polite and the wifi is fast. The waitress gave me a bit of a xenophobic vibe since she just put the menu on the far side of my table but gave the menu with a greeting to the other thai customers next table. Anyways not a big deal I came here to eat, not to get my ego stroked. I enjoyed the taste of the kare and eggs and the tonkatsu was well done.",FOOD: POS,SERVICE: NEU,ATMOSPHERE: N/A,PRICE: N/A
137,October : Japanese Home Cooking,ข้าวผัดมันเนื้ออร่อยมากค่ะ,FOOD: POS,SERVICE: N/A,ATMOSPHERE: N/A,PRICE: N/A
