Restaurant_Name,Platform,Language,Review_Text,human_food,human_service,human_atmos,human_price,annotation_note
Smoothie Blues,TripAdvisor,English,"I went here several times when staying in Chiang Mai, it is located on the trendy Nimman Road. I'm not sure what the opening hours are but most people seem to visit for lunch/brunch and the menu reflects this. There are lots of options, mainly western but also some Asian and plenty of choice for vegetarians. It is quite small and has a nice atmosphere with seating both inside & out, the service was always very good when I visited. It's not the cheapest place to eat in Chiang Mai but I'll definitely be back.",POS,POS,POS,NUE,
Lumi - Italian Restaurant,TripAdvisor,Thai,"ขอเขียนรีวิว 3 ส่วนใหญ่ๆ ( สถานที่ - บริการ - อาหาร ) ""สถานที่"" หาง่าย รถแดง อูเบอร์ ต่างก็รู้จัก แถมพูดติดปากว่า ""ร้านที่ดาราๆ ชอบไปนั่งใช่ป่าว ?"" ร้านตั้งอยู่ใจกลางซอยนิมมาน9 ซอยทั้งซอย มีร้านรวงสุดฮิป ร้่นนั่งชิล หรือบาร์ฝั่งตรงข้าม เพราะงั้น ไปร้านนี้ ก็สามารถเดินไปหาร้านนั่งฟังเพลงถัดไปได้ ทำเลคุ้มมาก การตกแต่งภายใน หรูหราสมกับแบรนด์โรงแรมหรูไซด์เล็ก ( Small luxury hotel ) มีให้เลือกทั้งแบบแอร์คอนหรือออลเฟรชโก้ด้านนอก ใช้โทนสีดำเป็นสีหลักในการตกแต่ง ขับความรู้สึกแบบ italian fine dinning ได้ดีมากๆ นอกจากเป็นร้านที่เหมาะกับทุกโอกาส พาใครไปเดท ก็มั่นใจได้ว่า โรแมนติกใช่ย่อย น้อคใจแฟนคุณได้ชัวร์ๆ ครับ ""บริการ"" คุณแป๋ม ( ป้ายชื่อเขียนว่า Pam ) คือดาวเด่นของร้าน ชอบที่น้องสามารถแนะนำเมนูได้ดีมากๆ ใส่ใจต่ออาหารแต่ละจาน คุณแป๋มจะอธิบายว่า ถ้าเราสั่งตัวนี้ ควรทานคู่กับอาหารจานไหน เพราะอะไร และไม่มีการยัดเยียดขายอาหารจนอึดอัด ชอบที่น้องบอกเราว่า อย่าลืมเผื่อท้องสำหรับของหวานด้วย พนง ท่านอื่นๆ ก็น่ารัก ที่นี่ จะมีช่องว่างปล่อยให้ผมกับเพื่อนได้ทานกันเป็นส่วนตัวจริงๆ ""อาหาร"" เราไปถึงร้านประมาณทุ่มตรง ลูกค้ายังไม่เยอะ ทำให้เชฟใหญ่ของร้าน ( เชฟเบส ) สามารถเดินมาทักทายพวกเราได้ รู้สึกเซอร์ไพรส์กับความละเอียดของการเลือกวัตถุดิบ เช่น มะเขือเทศที่เลือกมา จะสั่งจากยอดดอย โครงการหลวง ส่วนผสมจึงสดใหม่จริงๆ อาหารที่สั่ง แนะนำโดยเชฟเบส โจทย์คือ ผมไม่ทานเนื้อสัตว์ เพื่อนผมไม่ทานเนื้อ เชฟจึงแนะนำมาให้ 4 จาน ( ผมเขียนคำแนะนำต่างๆ พร้อมภาพแล้ว ) เวลาไปร้านอาหารใหม่ๆ ผมจะเชื่อใจคนวงในมากกว่าเสี่ยงสั่งเอง และเชฟก็ไม่ทำให้ผิดหวัง ผมไม่ทราบว่าอาหารอิตาเลี่ยนขนาดแท้เป็นยังไง แต่รสชาติที่ได้ คือกลมกล่อมถูกใจคนใต้แบบผมและเพื่อนมากๆ อยากให้ลองสั่งสลัดที่ผมทาน มะเขือเทศหวานมากๆ แถมซ๊อสเพสโต้ก็เข้ากันได้ดี ยิ่งเจอชีสก้อนนุ่ม ผมนี่ ฟินลืมโลก ตัวย้อคชี่ อีกจานเด็ดที่การันตีว่า คุณจะจำร้านนี้ไปอีกนาน ย้อคชี่ที่ผมเคยทานจากร้านอื่น จะแข็งบ้าง เนื้อด้านสากบ้าง แต่ร้านนี้ น้อคผมอยู่หมัด อีกตัวคือกุ้งทอดในน้ำมันพริกเผากระเทียม เพื่อนผมบอกว่า ความหอมของกุ้ง ไม่ได้มาจากทอดน้ำมัน แต่มันหอมเหมือนผ่านการอบหรือย่างมากลายๆ ทำให้ชูโรงเด่นขึ้นมา ของหวาน เราสั่งแมงโก้พานาค๊อตต้า ผมชอบที่มันหวานพอดีคำมากๆ มะม่วงที่เลือกมา ก็หอม ขับให้เนื้อพานาค้อตติาที่เราทาน ลงตัวไร้ที่ติ ปิดจ้อบชนะใจโต๊ะผมแบบเต็มๆ ตอนเช็คบิลเห็นราคา ผมแทบช๊อค ราคาไม่ได้แพงเหมือนที่คาดการณ์ไว้ในใจ เพื่อนผมทักว่า มันน่าจะสูงกว่านี้นะ ถ้าเทียบกับอาหารต่างๆ ที่เสริฟออกมา และบริการต่างๆ ที่ทำให้ร้านนี้เป็นไฟน์ดายนิ่ง หลายๆร้านอาหารในนิมมาน มักได้ยินว่า ลองดูนะ ลองไปนะ แต่สำหรับผมและเพื่อน เห็นตรงกันว่า Italics & Rise คือเพชรยอดมงกุฎของนิมมาน Read less",POS,POS,POS,POS,
ร้านเนื้อตุ๋นรสเยี่ยม นิมมาน ซอย 11,Google Maps,Thai,น้ำซุปร้อนมาก ปอเปี๊ยะใส่แน่นมาก,POS,N/A,N/A,N/A,
อังเคิลคานิ,Google Maps,English,"The flavors are good, however the beef itself was unfortunately chewy. Prices are also a bit high (70 baht for an iced tea) and charge 3% for card",NEU,N/A,N/A,NEG,
Rock Me Burger & Bar Nimman Branch,TripAdvisor,English,"Ate here at about 3pm on a Monday. Service was excellent, however the food wasn't even edible. Ordered the Mac and cheese burger. The Mac and cheese was average at best. Greasy and not much flavor. The burger meat was absolutely disgusting. Really weird off-putting flavor. Dry but greasy at the same time. Ate about 1/3 of it and gave up. Fries actually were really good. Don't believe the good reviews and the delicious looking food. You will be disappointed.",NEG,POS,N/A,N/A,
นินจา ราเมง,Google Maps,Thai,ราเมงชุปกระดูกวัวอร่อยทุกครั้งที่มากิน,POS,N/A,N/A,N/A,
Rock Me Burger & Bar Nimman Branch,TripAdvisor,Thai,"ร้าน 🍔 เจ้าดังที่เชียงใหม่เปลี่ยนเจ้าของหรอคะ? วันนี้ไปทานมา ผิดหวังสุดๆ!! ห่วยมาก 🍔 5-6/10 มีร้านที่ลำปาง ทำ beef patty y อร่อยกว่าที่ร้านนี้อีก, burger bun.. nothing special 🍗 2/10 ปีกไก่รสชาติเหมือน BonChon ปลอม พอกแป้งมาหนามาาาก กินไปคนละชิ้นแล้วไม่มี ใครแตะอีกเลย 🥗 3/10 ไม่ผ่านอย่างแรง แต่ต้องกิน เพราะผักใน burger เค้าให้มาน้อย 🍟 เดี๋ยวนี้กลายเป็น shoestring fries แบบของ Mc.Donald d’s ไปซะแล้ว เมื่อก่อนดีงามกว่านี้มากมาย สรุปภาพรวมทั้งหมด = 4/10 Customer Experience แย่มากๆ ตั้งแต่ไปถึงสาขาแรกที่ Night Bazaar ฝ่าดง งรถติดตั้งแต่สถานีรถไฟเชียงใหม่ ข้ามสะพานนวรัฐ กว่าจะมาถึงเจอรถติดเกือบชั่วโมง พอไปถึง..แม่ง ร้านปิด แต่ใน Facebook หลักของร้านก็ไม่มีก การแจ้งบอกว่าปิดนะ (อันนี้เราเองก็ผิด ที่ไม่โทรไปเช็คก่อน... แต่ในเมื่อ Internet บอกว่าร้านเปิด เราก็เลือกที่จะเชื่อ Internet) แล้วก็ต้ องฝ่าดงรถติดไปอีกครึ่งชั่วโมง เพื่อไปทานสาขานิมมาน พอไปถึง.. ไม่มีที่จอด 🙄 ต้องขับไปจอดเกือบปากซอย 15 แล้วเดินย้อนกลับมาที่ร้าน คือพย ยายามมาก หิ้วท้องรอมื้อนี้มาตั้งแต่เช้า จะกินต้องได้กิน! ถึงร้านแล้วเดินไปนั่งโต๊ะในสุดริมกระจกข้างใน ข้างนอกมีฝรั่งนั่งอยู่ 1 คน และ ม มีคู่นักท่องเที่ยวชาวไต้หวัน(มั้ง) ทั้งร้านมีลูกค้าอยู่ 7 คน มีพนักงานอีกประมาณ 6-7 คน ถือว่าพนักงานเยอะนะ ต่อจำนวนลูกค้าในร้าน แต่.... .. พนักงาน ไม่ attentive เลย!! เรียกได้ว่า ไม่สนใจลูกค้าเลย พนักงานเอาเมนูมาให้นะ - แต่พอถึงเวลาจะสั่งอาหาร เราต้องลุกจากโต๊ะแล้วเดินออ อกไปเรียกพนักงานให้มารับออเดอร์ พอพนักงานเอาน้ำมาเสริฟ ยังเทน้ำไม่ครบทุกแก้ว - เราต้องเดินเอาแก้วไปเปลี่ยน เพราะแก้วสกปรก ยังมีคราบเศษอ อาหารแห้งติดขอบแก้วอยู่เลย พอจะเช็คบิล - เราต้องเดินออกไปหน้าร้านเพื่อขอเช็คบิล พอจะจ่ายตังค์ - เราต้องเดินเอาไปให้เค้า (พนักงานคนนึงทำ ำท่าเหมือนยืนรอรับอยู่ แต่เค้าไม่มองโต๊ะเราเลยนะ เค้ามัวแต่ยืนคุยกับเพื่อนร่วมงาน สายตาเลยมองไม่เห็นมือที่เราโบกเรียกเค้าอยู่ประมาน 3-4 4 ครั้ง ปรากฎว่า ร้านนี้ไม่รับบัตรเครดิต! จะขอจ่ายเงินแบบ QR Code ก็ไม่มีอีก!! 😡😡 สรุปต้องเดินย้อนกลับไปที่รถ ขับรถออกนิมมานเส้นหลักม มา (เพราะรถจอดเกือบถึงปากซอย 15) แล้วขับเข้าซอย 17 วกกลับมา เพื่อจ่ายเงินสดให้ร้านที่อยู่ท้ายซอย 15 นี่ถ้าใครรู้ว่าเค้าเปลี่ยนเจ้าของ ห หรือเปลี่ยนมือผู้บริหาร ฝากบอกหน่อยว่าควรหาผู้จัดการร้านที่เป็นผู้ใหญ่และเป็นงานบริการหน่อยนะคะ พนักงานมีแต่เด็กๆ ที่ทำงานบริการไม่เป็น นเลย อีกอย่าง จ้างเชฟคนใหม่เถอะค่ะ!! เสียดายผลงานดีๆที่เคยทำไว้ในอดีต และชื่อเสียงที่สั่งสมมานาน อยากมี Burger อร่อยๆ ไว้ทานเวลาไม่อยู่ กรุงเทพ อยากกลับไปกินของอร่อยๆแบบเดิมอีก Read less",NEG,NEG,NEG,N/A,
Real Good Pasta,Google Maps,English,"Amazing food, great atmosphere; great drink specials to come hang out, do not miss this spot",POS,N/A,POS,N/A,
Botan Bar Nimman soi 5,Google Maps,Thai,ในร้านไม่เหมาะกับคนมีเพื่อนน้อย หรือไม่มีเพื่อน อยากม่วนคนเดียวไม่มีสิทธิ์ นั่งข้างนอกเท่านั่น 55555,N/A,NEG,N/A,N/A,
Anchan Vegetarian Restaurant,TripAdvisor,English,"Several of the reviews for Anchan describe it as ""lovely."" They are absolutely correct. The experience is just that. The tri-colored fried rices are quite flavorful, the banana blossom salad is a must and the raw chocolate truffles are nice and rich. Lovely.",POS,N/A,POS,N/A,
Why Not?,TripAdvisor,English,Had great selection of international wines and delicious cheeses and meats. I had the parpadelle ragu which was divine. Highly recommend for those wanting a taste of Italian - Puglia style.,POS,N/A,N/A,N/A,
Kiwami Curry ??,Google Maps,Thai,อร่อยมากกกกก ร้านสวย ข้าวแกงกะหรี่เนื้อฉ่ำ เนื้อนุ่มละลายในปาก ราเมนน้ำซุปกลมกล่อมดีมาก แนะนำเลยค่ะ🫶🏻🍛,POS,N/A,POS,N/A,
Botan Bar Nimman soi 5,Google Maps,Thai,แย่มากครับ มาครั้งแรกก็คือพอเลย สั่งเบียร์มาเป็น town แต่พนักงานกดไม่เต็ม town เลย มันมี 3 ลิตร เหมือนได้ 2. 80 ลิตร พอฟองหดตัวลงยิ่งน้อยเข้าไปใหญ่ แต่พนักงานดีบริการดี,NEG,NEU,N/A,N/A,
ก๋วยเตี๋ยวเรือ อองตอง,Google Maps,Thai,อร่อยทุกอย่าง....มีทีจอดรถกว้างขวาง,POS,POS,N/A,N/A,
Anchan Vegetarian Restaurant,TripAdvisor,English,It is easy to miss as Soi 8 is narrow and the restaurant itself is up some stairs but it is worth the difficulties in parking because the food is yumm.y,POS,NEG,NEU,N/A,
Lumi - Italian Restaurant,TripAdvisor,English,One of the best place we been in chiang mai. Food cocktails service was the best we had in our trip. So bad that was our last day in chiang mai.thanks a lot to the team. See you soon.,POS,POS,POS,N/A,
Rock Me Burger & Bar Nimman Branch,TripAdvisor,English,"If you are looking for the best western styled burgers you've dropped in on the right place! I tried the Osaka burger and it's the best combination of a Japanese styled confetti tempura topping, with a minced purple cabbage ginger, lettuce and carrot and zucchini topping, with a wasabi dressing! Talk about palate explosion! I also tried the Rocking on Heaven Beef burger! It lived up to my expectations! Single burger patty, fried egg, bacon, lettuce tomato and pickles! I tried the Rock Me Double Pork...it was very good but not the taste I wanted at that moment! It was flavorful, loaded with cheese and dressed with lettuce and tomatoes. The onion rings are awesome too! There is something special about the buns as well! I will try the chicken and ribs on the next order! ENJOY! Read less",POS,N/A,N/A,N/A,
Accha Authentic Indian Cuisine.,TripAdvisor,English,"Wonderful selection of vegetarian options, so many that I asked the waiter to choose for me. I was very pleased with his choice! Within moments of seating we had our drinks and a complimentry tasting selections of chutneys.",POS,POS,N/A,N/A,
Beast Burger and Pizza (Chiang Mai),TripAdvisor,English,"I ordered the Jalapeno Chimichurri burger and sweet potato fries. The burger was the best burger (out of two) I have had in Chiang Mai. The fries were delicious, I highly recommend the upgrade. Our table also ordered the Spicy Nduja which was good but the burger is what this place does best.",POS,N/A,N/A,N/A,
Co&Co caf?,Google Maps,Thai,ร้านสวย บรรยากาศดี,N/A,N/A,POS,N/A,[SHORT]
Accha Authentic Indian Cuisine.,TripAdvisor,English,Good food and great service. Spicier food is on request so if you want some more zing make sure to ask for it. Helpings are good and prices are very affordable. All round great location and atmosphere.,POS,POS,POS,POS,
แยงซีเกียง,Google Maps,English,I enjoyed the honey roasted pork. I had 2 servings.,POS,N/A,N/A,N/A,
ข้าวมันไก่ โกยี,Google Maps,Thai,ไม่ได้กินนาน หลังโควิดมานี้ได้น้อยมาก ข้าวสั่งพิเศษน้อยกว่าธรรมดาเมื่อก่อน ไก่ก็น้อยบาง เมื่อก่อนคือหนานุ่ม น้ำดื่มก็ไม่มีบริการเหมือนเมื่อก่อน เครื่องมีจุดเดียวของก็ใกล้หมด ขนาดอยู่ใกล้หน้าร้านก็ไม่มีคนเติมของ,NEG,NEG,N/A,N/A,
Jarid Thai Food,TripAdvisor,English,"delicious food, my favour is tom yum goong (river prawn) and your restaurant made it Excellent. -Service staff was impressed. I choose to sit at the terrace. (chill out)",POS,POS,POS,N/A,
ตะวันแดง มหาซน เชียงใหม่,Google Maps,Thai,เมาทุกขวดเจ็บปวดทุกเพลง,N/A,N/A,N/A,N/A,
Ginger Farm Kitchen,TripAdvisor,English,"Had the starter (leaf with fillings), curry prawn, steamed fish, pork belly. Wow. Everything tasted fresh and delicious. They do have a farm with a limited lunch menu. This is the place to come for the full thing.",POS,N/A,N/A,N/A,
Mix Beef Club & Restaurant,TripAdvisor,English,The food is nice with chilling outdoor seatings but very hard to get the waiter's attention...,POS,NEG,POS,N/A,[TRUNCATED]
ตะวันแดง มหาซน เชียงใหม่,Google Maps,Thai,สนุก เฮฮา ว่างๆอยากเต้นมาเลย พนักงานดูแลดีมาก เดินเข้าห้องน้ำมีพนักงานเปิดไฟฉายส่องทางให้ตลอดเพราะมีบันได กลัวลูกค้าสดุด,N/A,POS,POS,N/A,
Lumi - Italian Restaurant,TripAdvisor,English,"I always have problem with where to have dinner in Chiangmai but after we found this reataurant, i enjoyed eat there so much, we like many dishes , pizza is highly recommend, homemade gnochi truffle cream is superb nowherelse like this , recommend by the chef there , and here they also have very nice Thai dishes and service is outstanding. After your meal they also have amazing rooftop bar waiting for you on the 8 floors. Just my new favorite place in Chiangmai",POS,POS,POS,N/A,
ตะวันแดง มหาซน เชียงใหม่,Google Maps,English,I was there for the NYE party. The shows were beautiful but the music was WAAAY too loud. It was impossible to talk to each other. The DJs only played techno music. There were also older people who were annoyed.,N/A,N/A,NEG,N/A,
เฮือนเพ็ญ นิมมานเหมินทร์,TripAdvisor,Thai,"Let's try the Local Northern Thai food at Huen Phen, Chiangmai. There are 2 branches in Chiangmai. I visited the branche no.2 near Royal Park Rajapruek. Khao-Soi is the Best! แวะชิมอาหารเหนือที่ร้านเฮือนเพ็ญ มี2สาขา ไปลองชิมสาขา2ใกล้พืชสวนโลก ข้าวซอยอร่อยมากๆ ขอตัดคะแนนพนักงาน หน้าตาไม่รับแขก ไม่สนใจลูกค้า ถึงอร่อยก็ไม่อยากกลับไปกินสาขานี้ค่ะ 尝一尝泰国北方菜！在清迈ั有两个地方。我去拉查帕皇家花园 附近的饭店。 泰北咖喱面条超好吃！ Read less",POS,NEG,N/A,N/A,
Anchan Vegetarian Restaurant,Google Maps,English,"One of the best vegan food in Chiang Mai town with big serving and reasonable price. One of the best green curry I have ever tried during my months of stay in Thailand. Please don't be greedy, their food serving are quite big. Delicious food and enjoy everyone... .",POS,N/A,N/A,POS,
ภัตตาคารเจี่ยท้งเฮง สาขาวัน นิมมาน,Google Maps,English,pan fried pork buns/dumplings were good. I would order again.,POS,N/A,N/A,N/A,
พ๊อตโตะ,Google Maps,Thai,"ชาบูน้ำดำ อร่อยมาก ราคาสบายกระเป๋า
 ชุดนี้กับข้าวหนึ่งถ้วยอิ่มพอดีๆ สายชาบูต้องมา",POS,N/A,N/A,POS,
Pizza my Heart @ nimman,TripAdvisor,English,I was there with my wife having anniversary dinner. We order pizza and spaghetti. Food was fresh and tested. Owner and staffs are friendly and helpful. Highly Recommend this place .,POS,POS,N/A,N/A,
Lumi - Italian Restaurant,TripAdvisor,Thai,อาหารอร่อยมากค่ะ พนักงานน่ารักต้อนรับดีมากค่ะ บริการดีตั้งแต่ที่จอดรถจนถึงบริการจากเชฟ ประทับใจมากค่ะ อิ่มอร่อยสุดๆ 🤍 The food is very delicious. The staff are lovely and very welcoming. The service is good from parking to the service from the chef. Very impressed. Very full and delicious. 🤍,POS,POS,N/A,N/A,
โค บี คิว,Google Maps,Thai,คุณภาพดี น้ำจิ้มเกาหลีเด็ด ราคาสมเหตุผล บริการดีมากค่ะ,POS,POS,N/A,POS,
Rainy's Veggie Burgers,Google Maps,English,"A must-stop for all vegetarians. Come for the burgers, stay for the atmosphere. Rainy is a wonderful person. 10/10!",POS,POS,POS,N/A,
Lumi - Italian Restaurant,TripAdvisor,Thai,No words can explain how good it is! I will try other pizza next time. Just want to say Love this Pizza....Italian Sausage 👍👍 มีโอกาสได้ลองชิมพิซซ่าหน้า italian sausage ต้องบอกว่าอร่อยมาก พิซซ่าร้อนๆ กลิ่มหอมๆ ชีสเยิ้มๆ ได้ลองทานแล้วมีความสุขมากค่ะ ❤️❤️,POS,N/A,N/A,N/A,
เดอะ สลัด คอนเซ็ปท์,TripAdvisor,English,"Service was appalling, so so slow and couldn't be bothered. Drinks very expensive for very small size. Also requested a bottle of wTer as this is not a restaurant that offers free water. We were given a bottle of very warm water. The girl was rude when I asked for cold water and sId they don't have cold water. Won't be back and wouldn't recommend.",NEG,NEG,N/A,NEG,
Uchi Japanese Gastro Chiang Mai,TripAdvisor,English,10 out of 10. Was here in covid times and glad to see it still open and as good as ever. Will come again next trip to Chian g Mai,N/A,N/A,N/A,N/A,
Nara Thai Cuisine Chiang Mai,TripAdvisor,English,Nice ambience. Clean and nice. Food is good. Restaurant is well air conditioned. Great place to be to escape the Chiang Mai heat,POS,N/A,POS,N/A,
Anchan Vegetarian Restaurant,TripAdvisor,English,"A quick disclaimer: The only reason that I did not give 5 stars was because of the prices. It is quite expensive. However, aside from that it was as good as it gets. Huge portions, friendly staff and convenient location on Nimmanhaemin Road. If you're vegan or veggie or simply appreciate great vegan/veggie food, you must stop by Anchan during your stay in Chiang Mai.",POS,POS,POS,NEG,
Lavish Nimman,Google Maps,Thai,ร้านดีแต่เพลงอ่อมมากค่าเที่ยงคืนยังไม่ได้เต้น ผิดหวังที่ตั้งใจมา🥹🥹🥹🥹 …,N/A,N/A,NEG,N/A,[TRUNCATED]
Anchan Vegetarian Restaurant,TripAdvisor,English,"Anchan is always on my list of my Vegan Eatery in Chiang Mai! The location is at Nimman road Soi 8 which is easy to find! Ordered a masaman curry with red and brown rice, and a passion fruit smoothies as a late lunch. Not exaggerating but the masaman really is THE BEST I've even had for masaman style. It came with tofu, potatoes and lots of vegetable. Smoothies was very fresh and come in large portion! Environment is great, deco is nice. Owner is friendly and they got some homemade jam too! Menu is very clear staying all good that are vegetarian, or vegan. Here's the place which is vegan friendly with nice food! My bill is just about 170B, real deal for nice vegan food in the town! Read less",POS,POS,POS,POS,
Lumi - Italian Restaurant,TripAdvisor,English,"Thank you to Nokyung for the service and her smile, good experience to this place I recommend it. The bar and the rooftop are a great experience !",N/A,POS,POS,N/A,
